payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price,total_price
P026,C004510,T049189,I00177,S00307,1,ct,35,35
P022,C008967,T041209,I00248,S00595,1,rolls,26,26
P030,C007261,T03633,I00195,S00496,8,ct,12.5,100
P032,C007048,T084631,I00131,S0086,8,ct,14,112
P014,C006430,T071276,I00050,S00488,8,cans,8,64
P006,C007574,T026950,I00058,S00328,5,bottles,22,110
P023,C005695,T096704,I00075,S00196,2,cans,15.5,31
P027,C008728,T010756,I00188,S0010,1,ct,14,14
P025,C002764,T017598,I00017,S00164,11,cans,6.75,74.25
P019,C003128,T048812,I00133,S00640,10,ct,15,150
P018,C006613,T078755,I00065,S00540,8,bottles,20,160
P030,C009139,T037206,I00023,S0032,10,cans,6.75,67.5
P003,C000849,T045267,I00237,S00631,3,ct,16,48
P016,C005138,T017837,I00082,S0035,6,ct,15,90
P011,C000136,T074844,I00163,S00158,3,bags,15,45
P015,C007305,T06087,I00091,S00455,2,bottles,7.5,15
P018,C006779,T097274,I00125,S0071,9,ct,15,135
P013,C004337,T069004,I00155,S00616,9,bags,17,153
P001,C007044,T049755,I00017,S00423,7,cans,6.75,47.25
P028,C004437,T088776,I00153,S00608,4,bags,15,60
P003,C006330,T081360,I00047,S00628,4,cans,8,32
P019,C004953,T064303,I00125,S00197,7,ct,15,105
P020,C009102,T034213,I00078,S00172,8,bottles,17,136
P028,C001667,T03431,I00113,S00319,1,ct,42,42
P010,C003131,T072373,I00079,S00462,10,bottles,17,170
P011,C000117,T016070,I00248,S00460,2,rolls,26,52
P026,C008372,T011517,I00111,S00410,8,ct,16,128
P028,C000587,T098189,I00066,S00142,1,bottles,20,20
P012,C002814,T095863,I00108,S00563,2,oz,15,30
P017,C006599,T01535,I00077,S00317,11,cans,6.75,74.25
P033,C004506,T034740,I00103,S0090,6,tubs,15,90
P016,C003012,T066927,I00218,S00395,3,ct,6,18
P006,C002416,T016376,I00132,S0060,6,ct,14,84
P029,C004635,T058922,I00246,S0037,3,ct,20,60
P001,C002106,T084934,I00120,S00676,11,ct,9,99
P026,C002014,T075762,I00068,S00709,5,bottles,20,100
P036,C006673,T067888,I00018,S00547,1,cans,6.75,6.75
P020,C003551,T064445,I00033,S00343,7,cans,16,112
P021,C004163,T04044,I00123,S0079,6,ct,45,270
P033,C008636,T086840,I00204,S00643,5,ct,17,85
P002,C006607,T096401,I00097,S00293,11,cartons,19,209
P035,C004785,T027401,I00212,S00716,5,ct,12,60
P030,C007584,T097121,I00066,S00164,1,bottles,20,20
P028,C000794,T061460,I00003,S00604,8,cans,6.75,54
P006,C006515,T070970,I00226,S00582,4,lb,15,60
P024,C006654,T094539,I00236,S00169,10,tins,12,120
P029,C004238,T043327,I00192,S0043,3,ct,24,72
